iterations,edges,geodesic,clustering,movement,avg_degree,degree_skew,alpha,KS,p_KS,alpha1,alpha2,switch,KS_double,p_KS_double
0,338,6.5,0.0,N/A,4.0,0.0,5.0,1.0,0.0,5.000000031445346,1.0,5.0,1.0,0.0
169,443,4.592349957734573,0.17587113740959906,-1.907650042265427,5.242603550295858,1.1712603603284701,2.6389732660847103,0.22273422966410883,0.8781263979448483,2.63664123443926,3.4863870798201786,5.625371771619383,0.28570454274015966,0.5328952741960267
338,494,3.887503522118907,0.199621610144262,-0.7048464356156661,5.846153846153846,2.8535469442123307,2.3417653907958575,0.27804568880367153,0.2598385391319309,2.334599073839997,2.1592034229766193,4.000000000000001,0.302464822747797,0.1804073229388823
507,500,3.731614539306847,0.1778607245714798,-0.15588898281205976,5.9171597633136095,2.1499360454610645,2.2946411215090596,0.2654339889946794,0.3098801031055229,2.2859821634621493,2.0824659517440045,4.000000000000001,0.2936742906617578,0.2064610960147462
676,502,3.6485629754860525,0.1784574728361711,-0.0830515638207947,5.940828402366864,1.9244442065518224,2.2177359504368983,0.22139701278192464,0.5929999403807578,2.2054057985781332,1.8931810737220056,4.000000000000001,0.25928822330648693,0.3854820916395116
845,530,3.3165680473372783,0.17819962967891956,-0.3319949281487742,6.272189349112426,5.461652436091638,2.2297741012273766,0.2475207847751248,0.39201306708343425,2.2154463623469662,2.0030186251733912,4.000000000000001,0.27382729864003147,0.27586861615626795
1014,529,3.355593124823894,0.16588350223876994,0.03902507748661588,6.260355029585799,2.3730093195224775,2.2785157116179886,0.30206631993646016,0.12504818665663833,2.2739918923706095,4.348645484817692,9.809046927685634,0.3007717062126717,0.1280043259577553
1183,517,3.4168779938010707,0.17486860133006674,0.061284868977176554,6.118343195266272,4.681376400681045,2.256995493740874,0.25511730468599636,0.3555923420075435,2.2437184400837964,1.9946910956882364,4.000000000000001,0.2895400966536718,0.21968083771674438
1352,495,3.539025077486616,0.1385691231845077,0.12214708368554517,5.8579881656804735,1.5165321295756522,2.2753242687352815,0.21016740814160856,0.7264178005327092,2.260928208218245,1.9776966607555655,4.000000000000001,0.2434694734934026,0.5251973095626689
1521,510,3.5650183150183152,0.15110908158245429,0.025993237531699354,6.035502958579881,1.7050739487890278,2.2767044262278437,0.260545588160748,0.3310011290799188,2.2684622411022737,2.0965273909066853,4.000000000000001,0.28249951425094294,0.24367378263062597
